Timestamp_ms,Measured_Distance_m
9111,8.658
9113,8.663
9115,8.701
9117,8.710
9119,8.733
9121,8.682
9123,8.677
9125,7.847
9127,8.738
9129,8.644
9131,8.250
9133,8.654
9135,8.668
9137,8.246
9139,8.710
9141,8.682
9143,8.654
9145,8.677
9147,8.260
9149,8.297
9151,8.668
9153,8.748
9155,8.663
9157,8.189
9159,8.677
9161,8.701
9163,8.663
9165,8.658
9167,8.701
9169,8.246
9171,8.705
9173,8.677
9175,8.677
9177,8.687
9179,8.672
9181,8.701
9183,8.672
9185,8.668
9187,8.743
9189,8.682
9191,8.696
9193,8.658
9195,8.696
9197,8.649
9199,8.194
9201,8.701
9203,8.668
9205,8.672
9207,8.260
9209,8.682
9211,8.218
9213,8.232
9215,8.682
9217,8.663
9219,8.654
9221,8.691
9223,8.222
9225,8.246
9227,8.672
9229,8.658
9231,8.672
9233,8.672
9235,8.719
9237,8.658
9239,8.677
9241,8.682
9243,8.250
9245,8.654
9247,8.654
9249,8.663
9251,8.677
9253,8.269
9255,8.307
9257,8.654
9259,8.241
9261,8.691
9263,8.705
9265,8.696
9267,8.175
9269,8.255
9271,8.701
9273,8.208
9275,8.278
9277,8.682
9279,8.691
9281,8.682
9283,8.208
9285,8.672
9287,8.668
9289,8.250
9291,8.232
9293,8.687
9295,8.710
9297,8.719
9299,8.250
9301,8.672
9303,8.682
9305,8.687
9307,8.691
9309,8.640
9311,8.701
9313,8.682
9315,8.687
9317,8.691
9319,8.236
9321,8.738
9323,8.663
9325,8.682
9327,8.677
9329,8.696
9331,8.672
9333,8.715
9335,8.654
9337,8.687
9339,8.241
9341,8.682
9343,8.232
9345,8.682
9347,8.701
9349,8.668
9351,8.311
9353,8.297
9355,8.696
9357,8.691
9359,8.672
9361,8.222
9363,8.255
9365,8.672
9367,8.644
9369,8.672
9371,8.677
9373,8.696
9375,8.701
9377,8.663
9379,8.232
9381,8.668
9383,8.658
9385,8.672
9387,8.762
9389,8.687
9391,8.672
9393,8.672
9395,8.672
9397,8.691
9399,8.780
9401,8.682
9403,8.672
9405,8.668
9407,8.701
9409,8.668
9411,8.668
9413,8.687
9415,8.672
9417,8.654
9419,8.682
9421,8.691
9423,8.658
9425,8.663
9427,8.705
9429,8.687
9431,8.733
9433,8.260
9435,8.250
9437,8.696
9439,8.701
9441,8.677
9443,8.696
9445,8.668
9447,8.241
9449,7.828
9451,8.687
9453,8.232
9455,8.663
9457,8.644
9459,8.644
9461,8.691
9463,8.691
9465,8.705
9467,8.682
9469,8.213
9471,8.677
9473,8.663
9475,8.213
9477,8.203
9479,8.260
9481,8.677
9483,8.663
9485,8.663
9487,8.677
9489,8.701
9491,8.283
9493,8.691
9495,8.701
9497,8.654
9499,8.696
9501,8.663
9503,8.696
9505,8.668
9507,8.274
9509,8.701
9511,8.682
9513,8.208
9515,8.691
9517,8.663
9519,8.677
9521,8.677
9523,8.672
9525,8.218
9527,8.691
9529,8.635
9531,8.691
9533,8.663
9535,8.682
9537,8.260
9539,8.232
9541,8.672
9543,8.672
9545,8.635
9547,8.283
9549,8.658
9551,8.644
9553,8.372
9555,8.658
9557,8.682
9559,8.701
9561,8.166
9563,8.687
9565,8.668
9567,7.931
9569,8.682
9571,8.616
9573,8.701
9575,8.696
9577,8.180
9579,8.682
9581,7.974
9583,8.682
9585,8.213
9587,8.687
9589,8.640
9591,8.696
9593,8.705
9595,8.250
9597,8.250
9599,8.241
9601,8.663
9603,8.705
9605,8.644
9607,8.663
9609,8.166
9611,8.649
9613,8.668
9615,8.701
9617,8.663
9619,8.715
9621,8.218
9623,8.677
9625,8.691
9627,8.724
9629,8.719
9631,8.682
9633,8.260
9635,8.677
9637,8.691
9639,8.701
9641,8.649
9643,8.719
9645,8.682
9647,8.316
9649,8.677
9651,8.278
9653,8.696
9655,8.705
9657,8.630
9659,8.672
9661,8.663
9663,8.691
9665,8.278
9667,8.677
9669,8.672
9671,8.213
9673,8.644
9675,8.218
9677,8.677
9679,8.687
9681,8.701
9683,8.677
9685,8.682
9687,8.687
9689,8.757
9691,8.682
9693,8.729
9695,8.677
9697,8.701
9699,8.283
9701,8.672
9703,8.677
9705,8.691
9707,8.649
9709,8.687
9711,8.208
9713,8.701
9715,8.705
9717,8.185
9719,8.705
9721,8.682
9723,8.663
9725,8.691
9727,8.677
9729,8.705
9731,8.227
9733,8.705
9735,8.278
9737,8.232
9739,8.696
9741,8.654
9743,8.719
9745,8.682
9747,8.687
9749,8.701
9751,8.640
9753,8.672
9755,8.701
9757,8.232
9759,8.658
9761,8.644
9763,8.640
9765,8.260
9767,8.668
9769,8.682
9771,8.715
9773,8.227
9775,8.701
9777,8.677
9779,8.658
9781,8.696
9783,8.672
9785,8.232
9787,8.311
9789,8.691
9791,8.701
9793,8.668
9795,8.672
9797,8.658
9799,8.658
9801,8.701
9803,8.719
9805,8.682
9807,8.147
9809,7.847
9811,8.250
9813,8.635
9815,8.682
9817,8.687
9819,8.157
9821,8.654
9823,8.672
9825,8.691
9827,8.250
9829,8.705
9831,8.691
9833,8.691
9835,8.203
9837,8.658
9839,8.274
9841,8.654
9843,8.293
9845,7.824
9847,8.241
9849,8.682
9851,8.687
9853,8.701
9855,8.682
9857,8.654
9859,8.264
9861,8.208
9863,8.293
9865,8.264
9867,8.232
9869,8.691
9871,8.687
9873,8.691
9875,8.724
9877,8.710
9879,8.672
9881,8.715
9883,8.654
9885,8.213
9887,8.687
9889,8.672
9891,8.630
9893,8.672
9895,8.658
9897,8.611
9899,8.691
9901,8.701
9903,8.260
9905,8.260
9907,8.363
9909,8.738
9911,8.691
9913,8.663
9915,8.672
9917,8.682
9919,8.250
9921,8.677
9923,8.222
9925,8.668
9927,8.260
9929,8.677
9931,8.687
9933,8.644
9935,8.687
9937,8.203
9939,8.705
9941,8.236
9943,7.781
9945,8.691
9947,7.819
9949,8.677
9951,8.691
9953,8.682
9955,8.654
9957,8.724
9959,8.715
9961,8.691
9963,8.644
9965,8.222
9967,8.677
9969,8.668
9971,8.705
9973,8.672
9975,8.668
9977,8.691
9979,8.677
9981,8.654
9983,8.691
9985,8.719
9987,8.260
9989,8.354
9991,8.232
9993,8.668
9995,8.691
9997,8.640
9999,8.691
10001,8.715
10003,8.194
10005,8.687
10007,8.250
10009,8.663
10011,7.744
10013,7.824
10015,8.715
10017,8.719
10019,8.640
10021,8.658
10023,8.710
10025,8.246
10027,8.687
10029,8.705
10031,8.668
10033,8.701
10035,8.710
10037,8.682
10039,8.715
10041,8.710
10043,8.710
10045,8.701
10047,8.668
10049,8.668
10051,8.705
10053,8.246
10055,8.682
10057,8.677
10059,8.691
10061,8.691
10063,8.682
10065,8.691
10067,8.687
10069,8.719
10071,8.658
10073,8.640
10075,8.701
10077,8.391
10079,8.241
10081,8.283
10083,8.672
10085,8.644
10087,8.232
10089,8.733
10091,8.644
10093,8.246
10095,8.654
10097,8.180
10099,8.705
10101,8.701
10103,8.649
10105,8.663
10107,8.682
10109,8.663
10111,8.701
10113,8.715
10115,8.644
10117,8.232
10119,8.682
10121,8.654
10123,8.733
10125,8.668
10127,8.672
10129,8.649
10131,8.705
10133,8.255
10135,8.644
10137,8.701
10139,8.677
10141,8.715
10143,8.232
10145,8.630
10147,8.283
10149,8.663
10151,8.724
10153,8.701
10155,8.227
10157,8.715
10159,8.672
10161,8.644
10163,8.724
10165,8.696
10167,8.710
10169,8.672
10171,8.654
10173,8.658
10175,8.644
10177,8.691
10179,8.288
10181,8.663
10183,8.738
10185,8.672
10187,8.677
10189,8.654
10191,8.738
10193,8.701
10195,8.672
10197,8.649
10199,8.654
10201,7.884
10203,8.297
10205,8.715
10207,8.194
10209,8.672
10211,8.719
10213,8.682
10215,8.649
10217,8.696
10219,8.710
10221,8.672
10223,8.658
10225,8.719
10227,8.710
10229,8.691
10231,8.649
10233,8.682
10235,8.250
10237,8.644
10239,8.635
10241,8.260
10243,8.246
10245,8.241
10247,8.710
10249,8.691
10251,8.691
10253,8.658
10255,8.710
10257,8.218
10259,8.222
10261,8.658
10263,8.663
10265,8.705
10267,8.672
10269,8.701
10271,8.241
10273,8.701
10275,8.640
10277,8.672
10279,8.682
10281,8.691
10283,8.682
10285,8.691
10287,8.649
10289,8.654
10291,8.687
10293,8.672
10295,8.710
10297,8.672
10299,8.644
10301,8.222
10303,8.663
10305,8.644
10307,8.672
10309,8.316
10311,8.232
10313,8.691
10315,8.687
10317,8.668
10319,8.654
10321,8.222
10323,8.733
10325,8.630
10327,8.644
10329,8.691
10331,8.677
10333,8.701
10335,8.635
10337,8.288
10339,8.719
10341,8.644
10343,8.663
10345,8.658
10347,8.682
10349,8.194
10351,8.663
10353,8.687
10355,8.710
10357,8.635
10359,8.621
10361,8.701
10363,8.668
10365,8.663
10367,8.654
10369,8.288
10371,8.682
10373,8.147
10375,8.654
10377,8.677
10379,8.715
10381,8.644
10383,8.232
10385,8.748
10387,8.710
10389,8.687
10391,8.663
10393,8.710
10395,8.677
10397,8.682
10399,8.672
10401,8.687
10403,8.649
10405,8.250
10407,8.682
10409,8.227
10411,8.255
10413,8.658
10415,8.668
10417,8.626
10419,8.180
10421,8.232
10423,8.672
10425,8.715
10427,8.663
10429,8.400
10431,8.250
10433,8.715
10435,8.672
10437,8.687
10439,8.654
10441,8.274
10443,8.663
10445,8.663
10447,8.663
10449,8.696
10451,8.691
10453,8.724
10455,8.752
10457,8.157
10459,8.288
10461,8.705
10463,8.682
10465,8.208
10467,8.682
10469,8.250
10471,8.250
10473,8.630
10475,8.213
10477,8.635
10479,8.654
10481,8.682
10483,8.677
10485,8.687
10487,8.687
10489,8.682
10491,8.729
10493,8.658
10495,8.269
10497,8.663
10499,8.729
10501,8.658
10503,8.701
10505,8.663
10507,8.672
10509,8.724
10511,8.696
10513,8.255
10515,8.668
10517,8.649
10519,8.701
10521,8.663
10523,8.682
10525,8.232
10527,8.640
10529,8.677
10531,8.213
10533,8.325
10535,8.321
10537,8.175
10539,8.668
10541,8.687
10543,8.663
10545,8.668
10547,8.682
10549,8.663
10551,8.705
10553,8.654
10555,8.710
10557,8.687
10559,8.733
10561,8.724
10563,8.194
10565,8.658
10567,8.691
10569,8.649
10571,8.701
10573,8.663
10575,8.733
10577,8.687
10579,8.687
10581,8.715
10583,8.691
10585,8.293
10587,8.649
10589,8.710
10591,8.663
10593,8.729
10595,8.677
10597,8.710
10599,8.719
10601,8.705
10603,8.677
10605,8.691
10607,8.663
10609,7.758
10611,8.110
10613,8.288
10615,8.213
10617,8.339
10619,8.203
10621,8.640
10623,8.654
10625,8.166
10627,8.663
10629,8.630
10631,8.691
10633,8.682
10635,8.733
10637,8.654
10639,8.663
10641,8.687
10643,8.288
10645,8.724
10647,8.274
10649,8.302
10651,8.654
10653,8.672
10655,8.668
10657,8.644
10659,8.658
10661,8.719
10663,8.668
10665,8.222
10667,8.691
10669,8.654
10671,8.644
10673,8.710
10675,8.682
10677,8.729
10679,8.672
10681,8.672
10683,8.672
10685,8.682
10687,8.677
10689,8.663
10691,8.672
10693,8.654
10695,8.715
10697,8.626
10699,8.682
10701,8.663
10703,8.715
10705,8.691
10707,8.654
10709,8.658
10711,8.677
10713,8.682
10715,8.687
10717,8.677
10719,8.682
10721,8.180
10723,8.222
10725,8.677
10727,8.654
10729,8.293
10731,8.349
10733,8.180
10735,8.307
10737,8.691
10739,8.719
10741,8.663
10743,8.677
10745,8.663
10747,8.654
10749,8.691
10751,8.687
10753,8.705
10755,8.644
10757,8.733
10759,8.264
10761,8.672
10763,8.691
10765,8.738
10767,8.672
10769,8.260
10771,8.672
10773,8.668
10775,8.668
10777,8.687
10779,8.208
10781,8.278
10783,8.644
10785,8.682
10787,8.701
10789,8.663
10791,8.696
10793,8.715
10795,8.710
10797,8.682
10799,8.658
10801,8.185
10803,8.729
10805,8.654
10807,8.672
10809,8.654
10811,8.705
10813,8.682
10815,8.738
10817,8.668
10819,8.762
10821,8.663
10823,8.710
10825,8.719
10827,8.672
10829,8.710
10831,7.880
10833,8.246
10835,8.677
10837,8.349
10839,8.658
10841,8.658
10843,8.658
10845,8.710
10847,8.663
10849,8.729
10851,8.644
10853,8.701
10855,8.663
10857,8.691
10859,8.654
10861,8.710
10863,8.682
10865,8.640
10867,8.715
10869,8.672
10871,8.658
10873,8.166
