Timestamp_ms,Measured_Distance_m
9701,4.090
9714,4.071
9727,4.001
9740,4.006
9753,4.034
9766,4.029
9779,4.034
9792,4.034
9805,4.062
9818,3.996
9831,4.090
9844,4.001
9857,4.085
9870,4.067
9883,4.024
9896,3.996
9909,4.034
9922,3.977
9935,4.043
9948,4.052
9961,4.015
9974,4.006
9987,3.982
10000,4.015
10013,3.996
10026,4.090
10039,3.982
10052,4.057
10065,4.034
10078,4.043
10091,4.034
10104,4.015
10117,4.052
10130,4.024
10143,4.052
10156,4.043
10169,4.029
10182,4.052
10195,3.996
10208,4.095
10221,4.057
10234,4.062
10247,4.067
10260,3.963
10273,4.038
10286,4.029
10299,4.020
10312,4.071
10325,4.034
10338,4.006
10351,4.024
10364,4.038
10377,4.029
10390,3.991
10403,4.006
10416,3.991
10429,4.062
10442,4.052
10455,4.034
10468,3.991
10481,4.057
10494,3.963
10507,4.062
10520,4.081
10533,4.006
10546,3.991
10559,4.081
10572,4.038
10585,4.024
10598,4.071
10611,3.996
10624,4.006
10637,4.062
10650,4.038
10663,4.062
10676,4.067
10689,4.015
10702,4.048
10715,4.006
10728,4.020
10741,4.034
10754,4.043
10767,4.006
10780,4.015
10793,4.043
10806,4.057
10819,4.043
10832,3.996
10845,4.029
10858,4.015
10871,4.034
10884,3.996
10897,4.071
10910,3.973
10923,4.043
10936,4.034
10949,4.024
10962,4.015
10975,4.020
10988,4.015
11001,4.006
11014,4.029
11027,4.001
11040,3.968
11053,4.015
11066,4.020
11079,3.987
11092,4.020
11105,4.057
11118,4.015
11131,4.015
11144,4.067
11157,4.015
11170,3.968
11183,4.048
11196,4.048
11209,3.996
11222,4.020
11235,4.015
11248,3.991
11261,4.006
11274,4.038
11287,4.052
11300,4.024
11313,4.034
11326,4.010
11339,4.020
11352,4.081
11365,4.015
11378,3.982
11391,4.062
11404,4.090
11417,4.015
11430,4.001
11443,4.048
11456,4.052
11469,3.987
11482,4.020
11495,4.015
11508,4.024
11521,4.071
11534,4.020
11547,3.987
11560,4.024
11573,4.029
11586,3.991
11599,4.038
11612,3.987
11625,4.006
11638,4.067
11651,4.015
11664,3.996
11677,4.048
11690,4.057
11703,4.090
11716,4.010
11729,4.034
11742,4.015
11755,4.006
11768,4.038
11781,4.020
11794,4.001
11807,4.015
11820,4.081
11833,4.038
11846,4.048
11859,4.048
11872,4.029
11885,4.034
11898,4.020
11911,4.010
11924,4.062
11937,4.048
11950,4.006
11963,4.001
11976,4.006
11989,4.062
12002,4.071
12015,4.029
12028,4.052
12041,4.024
12054,4.067
12067,4.020
12080,4.020
12093,3.996
12106,3.996
12119,4.034
12132,4.043
12145,4.038
12158,4.020
12171,3.982
12184,4.048
12197,4.052
12210,4.024
12223,4.071
12236,4.001
12249,4.024
12262,4.010
12275,4.043
12288,4.024
12301,4.062
12314,4.038
12327,3.977
12340,3.982
12353,4.006
12366,4.076
12379,4.034
12392,4.071
12405,3.987
12418,4.085
12431,4.010
12444,4.006
12457,4.024
12470,4.043
12483,4.071
12496,3.991
12509,4.067
12522,4.043
12535,3.996
12548,4.010
12561,4.043
12574,4.034
12587,4.062
12600,4.071
12613,4.029
12626,3.987
12639,4.029
12652,3.987
12665,4.024
12678,4.001
12691,4.001
12704,4.052
12717,3.982
12730,4.048
12743,4.038
12756,4.029
12769,3.991
12782,4.020
12795,4.043
12808,4.029
12821,4.024
12834,4.024
12847,3.991
12860,4.057
12873,3.991
12886,4.062
12899,4.067
12912,3.987
12925,4.024
12938,4.043
12951,3.996
12964,4.024
12977,4.057
12990,4.081
13003,4.052
13016,4.043
13029,4.006
13042,4.029
13055,4.024
13068,4.067
13081,4.024
13094,4.024
13107,4.043
13120,4.052
13133,4.006
13146,4.071
13159,4.010
13172,4.043
13185,4.071
13198,4.062
13211,4.057
13224,3.991
13237,3.987
13250,4.052
13263,4.038
13276,4.062
13289,4.081
13302,4.081
13315,4.048
13328,4.015
13341,4.076
13354,4.001
13367,4.034
13380,4.034
13393,4.057
13406,4.038
13419,4.043
13432,4.043
13445,4.010
13458,3.973
13471,4.043
13484,4.062
13497,4.043
13510,4.043
13523,4.043
13536,4.024
13549,4.034
13562,4.062
13575,4.034
13588,4.034
13601,4.038
13614,4.090
13627,4.052
13640,4.020
13653,4.034
13666,4.015
13679,4.043
13692,4.118
13705,4.043
13718,4.029
13731,4.052
13744,4.043
13757,4.057
13770,3.982
13783,4.006
13796,4.038
13809,4.034
13822,3.987
13835,4.029
13848,4.043
13861,4.071
13874,4.048
13887,4.024
13900,3.996
13913,4.034
13926,3.996
13939,4.052
13952,4.043
13965,4.057
13978,4.076
13991,4.052
14004,4.048
14017,4.062
14030,3.991
14043,4.029
14056,4.015
14069,4.024
14082,4.024
14095,4.057
14108,4.043
14121,3.991
14134,4.057
14147,4.043
14160,4.076
14173,4.062
14186,3.987
14199,4.015
14212,4.015
14225,4.076
14238,4.001
14251,4.034
14264,4.038
14277,3.959
14290,3.987
14303,4.020
14316,4.043
14329,4.048
14342,4.038
14355,3.987
14368,3.996
14381,3.996
14394,4.001
14407,4.015
14420,3.996
14433,4.010
14446,4.001
14459,3.987
14472,3.991
14485,4.062
14498,3.982
14511,4.048
14524,3.996
14537,4.052
14550,3.996
14563,4.034
14576,4.015
14589,4.052
14602,4.034
14615,4.034
14628,4.010
14641,3.982
14654,4.034
14667,4.034
14680,4.001
14693,4.015
14706,4.034
14719,4.024
14732,4.024
14745,4.029
14758,4.052
14771,4.034
14784,3.973
14797,4.057
14810,4.024
14823,4.024
14836,4.034
14849,4.015
14862,4.020
14875,4.052
14888,4.034
14901,4.048
14914,4.090
14927,4.090
14940,4.043
14953,4.029
14966,4.052
14979,4.062
14992,4.057
15005,4.034
15018,4.052
15031,4.010
15044,4.038
15057,4.034
15070,3.991
15083,4.024
15096,4.020
15109,4.043
15122,4.034
15135,4.038
15148,4.006
15161,4.057
15174,4.099
15187,4.020
15200,3.991
15213,4.090
15226,4.043
15239,4.015
15252,4.057
15265,4.034
15278,4.043
15291,4.052
15304,4.038
15317,4.024
15330,4.048
15343,4.043
15356,4.048
15369,4.052
15382,3.996
15395,4.015
15408,4.024
15421,4.071
15434,4.067
15447,4.057
15460,4.034
15473,4.048
15486,4.010
15499,4.001
15512,4.024
15525,4.020
15538,4.043
15551,4.085
15564,3.996
15577,4.057
15590,4.001
15603,4.038
15616,4.043
15629,4.048
15642,3.996
15655,4.048
15668,3.982
15681,4.029
15694,4.006
15707,4.038
15720,4.010
15733,4.081
15746,4.067
15759,4.010
15772,4.043
15785,4.038
15798,4.038
15811,4.006
15824,4.024
15837,4.034
15850,4.043
15863,4.034
15876,4.038
15889,4.043
15902,3.991
15915,3.968
15928,4.015
15941,4.038
15954,4.057
15967,4.015
15980,4.067
15993,4.057
16006,4.024
16019,4.043
16032,4.020
16045,4.015
16058,4.038
16071,4.043
16084,4.024
16097,4.043
16110,4.052
16123,3.973
16136,4.048
16149,4.081
16162,4.043
16175,4.034
16188,4.043
16201,4.062
16214,4.043
16227,4.043
16240,4.020
16253,4.043
16266,4.052
16279,4.048
16292,4.062
16305,4.034
16318,3.982
16331,4.052
16344,4.038
16357,4.090
16370,4.067
16383,4.006
16396,4.029
16409,3.987
16422,4.034
16435,4.048
16448,4.076
16461,4.024
16474,4.006
16487,4.006
16500,4.057
16513,4.095
16526,4.067
16539,4.062
16552,4.020
16565,4.043
16578,4.006
16591,4.067
16604,4.010
16617,4.048
16630,4.001
16643,4.052
16656,4.076
16669,4.062
16682,4.048
16695,4.071
16708,4.067
16721,4.029
16734,4.071
16747,4.034
16760,4.001
16773,4.052
16786,4.067
16799,4.034
16812,4.076
16825,4.052
16838,4.006
16851,4.048
16864,4.010
16877,3.991
16890,4.048
16903,4.057
16916,4.048
16929,4.020
16942,4.015
16955,4.062
16968,4.067
16981,4.029
16994,3.987
17007,4.024
17020,4.062
17033,4.052
17046,4.029
17059,4.067
17072,4.020
17085,4.048
17098,4.062
17111,4.067
17124,4.029
17137,4.015
17150,4.052
17163,4.052
17176,4.010
17189,4.006
17202,4.029
17215,4.062
17228,4.062
17241,4.062
17254,4.010
17267,4.015
17280,4.034
17293,3.982
17306,3.973
17319,3.996
17332,4.029
17345,4.015
17358,3.987
17371,4.048
17384,4.043
17397,4.048
17410,4.015
17423,4.034
17436,4.038
17449,4.071
17462,4.043
17475,4.010
17488,4.038
17501,4.020
17514,3.996
17527,4.010
17540,4.048
17553,4.067
17566,4.062
17579,3.977
17592,4.034
17605,4.052
17618,4.062
17631,4.010
17644,4.015
17657,4.034
17670,4.057
17683,4.015
17696,4.057
17709,4.020
17722,4.034
17735,3.968
17748,4.020
17761,4.029
17774,4.034
17787,4.034
17800,4.038
17813,4.043
17826,4.043
17839,4.048
17852,4.001
17865,4.015
17878,4.015
17891,4.001
17904,4.024
17917,4.052
17930,4.057
17943,4.029
17956,4.034
17969,4.043
17982,4.015
17995,4.006
18008,4.001
18021,4.038
18034,4.062
18047,3.982
18060,4.052
18073,4.038
18086,4.052
18099,4.062
18112,4.062
18125,4.029
18138,4.067
18151,4.015
18164,4.010
18177,4.081
18190,3.987
18203,4.071
18216,4.048
18229,4.038
18242,4.024
18255,4.048
18268,4.038
18281,3.987
18294,4.043
18307,4.052
18320,4.048
18333,3.977
18346,4.043
18359,3.996
18372,4.029
18385,3.987
18398,4.057
18411,4.043
18424,3.996
18437,4.015
18450,4.029
18463,4.015
18476,4.081
18489,4.024
18502,3.991
18515,4.043
18528,4.052
18541,4.085
18554,4.024
18567,4.052
18580,4.052
18593,4.029
18606,4.043
18619,4.048
18632,4.001
18645,4.015
18658,4.071
18671,3.991
18684,3.987
18697,4.001
18710,4.099
18723,4.001
18736,4.076
18749,4.001
18762,4.048
18775,3.963
18788,4.024
18801,4.034
18814,4.010
18827,4.038
18840,4.029
18853,4.006
18866,4.052
18879,4.024
18892,3.987
18905,4.034
18918,4.034
18931,4.001
18944,4.029
18957,4.062
18970,4.048
18983,4.024
18996,4.067
19009,3.982
19022,4.043
19035,4.062
19048,4.043
19061,4.024
19074,4.024
19087,4.081
19100,4.067
19113,4.024
19126,4.015
19139,4.020
19152,4.062
19165,4.006
19178,4.048
19191,4.057
19204,4.043
19217,4.006
19230,4.076
19243,3.977
19256,4.034
19269,4.052
19282,3.977
19295,4.029
19308,3.977
19321,4.043
19334,3.991
19347,4.043
19360,4.020
19373,4.034
19386,4.057
19399,4.029
19412,4.024
19425,4.062
19438,4.015
19451,4.085
19464,4.034
19477,4.034
19490,4.067
19503,4.062
19516,4.043
19529,4.034
19542,4.043
19555,4.057
19568,4.015
19581,4.052
19594,4.024
19607,4.071
19620,3.987
19633,4.015
19646,4.029
19659,3.977
19672,4.024
19685,4.062
19698,4.024
19711,4.057
19724,3.996
19737,4.024
19750,4.038
19763,4.024
19776,4.034
19789,4.052
19802,4.043
19815,3.996
19828,4.043
19841,4.006
19854,4.057
19867,4.038
19880,4.038
19893,4.015
19906,4.020
19919,4.015
19932,4.048
19945,4.038
19958,4.024
19971,4.038
19984,3.968
19997,4.048
20010,4.034
20023,4.052
20036,4.076
20049,4.010
20062,4.071
20075,4.015
20088,4.020
20101,4.034
20114,4.043
20127,4.034
20140,4.029
20153,4.015
20166,4.067
20179,4.048
20192,4.010
20205,4.062
20218,4.020
20231,4.024
20244,4.057
20257,4.038
20270,4.034
20283,4.024
20296,4.038
20309,4.067
20322,4.010
20335,4.062
20348,4.052
20361,3.996
20374,4.052
20387,4.034
20400,4.057
20413,4.038
20426,4.024
20439,4.062
20452,4.034
20465,4.024
20478,4.057
20491,4.034
20504,4.052
20517,4.024
20530,4.010
20543,4.052
20556,4.020
20569,4.038
20582,4.034
20595,4.057
20608,4.024
20621,4.029
20634,4.062
20647,4.015
20660,4.034
20673,4.052
20686,4.081
20699,4.071
20712,4.062
20725,4.067
20738,4.010
20751,4.043
20764,3.963
20777,4.024
20790,4.038
20803,4.038
20816,4.052
20829,4.062
20842,4.015
20855,4.034
20868,4.034
20881,4.015
20894,3.991
20907,4.020
20920,4.057
20933,4.029
20946,4.057
20959,3.996
20972,4.015
20985,4.071
20998,4.001
21011,4.043
21024,3.987
21037,4.038
21050,4.015
21063,4.043
21076,4.024
21089,4.043
21102,4.029
21115,4.006
21128,4.038
21141,4.029
21154,4.024
21167,3.991
21180,4.067
21193,4.052
21206,3.996
21219,3.987
21232,4.024
21245,4.015
21258,4.020
21271,3.977
21284,4.062
21297,4.038
21310,4.052
21323,4.024
21336,4.015
21349,4.052
21362,3.987
21375,4.029
21388,3.973
21401,4.038
21414,4.029
21427,4.015
21440,4.062
21453,3.991
21466,4.024
21479,4.010
21492,4.043
21505,4.052
21518,4.010
21531,4.015
21544,4.001
21557,4.020
21570,4.010
21583,4.067
21596,3.973
21609,4.062
21622,3.996
21635,4.024
21648,4.024
21661,4.038
21674,3.987
21687,4.015
21700,4.038
21713,4.043
21726,4.067
21739,4.020
21752,4.029
21765,4.038
21778,4.015
21791,4.034
21804,4.020
21817,4.052
21830,4.034
21843,4.034
21856,3.982
21869,4.024
21882,4.052
21895,4.006
21908,4.052
21921,4.024
21934,4.048
21947,4.034
21960,4.038
21973,4.010
21986,3.982
21999,4.038
22012,4.067
22025,4.062
22038,4.048
22051,4.034
22064,4.020
22077,4.038
22090,4.020
22103,4.057
22116,4.052
22129,4.034
22142,4.020
22155,4.038
22168,4.038
22181,4.034
22194,4.048
22207,4.043
22220,3.991
22233,4.010
22246,4.057
22259,4.043
22272,4.043
22285,4.015
22298,4.043
22311,3.991
22324,4.052
22337,4.010
22350,4.043
22363,4.034
22376,4.043
22389,3.987
22402,4.020
22415,4.034
22428,4.043
22441,4.043
22454,4.043
22467,4.090
22480,4.029
22493,4.076
22506,4.062
22519,4.034
22532,4.038
22545,4.024
22558,4.076
22571,4.015
22584,4.024
22597,4.062
22610,4.057
22623,4.029
22636,4.038
22649,4.071
22662,4.024
22675,4.029
22688,4.043
