File,Target_Distance_m,Target_Hz,Actual_Hz,Avg_Delta_ms,Measured_Mean_m,Error_m,Std_Dev_m,Samples
12m_10000Hz.csv,12.0,10000.0,22.45,44.55,12.2191,0.2191,0.1595,1000
12m_1000Hz.csv,12.0,1000.0,83.28,12.01,12.1634,0.1634,0.048,1000
12m_100Hz.csv,12.0,100.0,20.56,48.63,12.3539,0.3539,0.1956,1000
12m_10Hz.csv,12.0,10.0,5.64,177.33,12.123,0.123,0.1242,1000
12m_200Hz.csv,12.0,200.0,102.19,9.79,12.2089,0.2089,0.0996,1000
12m_20Hz.csv,12.0,20.0,2.52,397.58,12.1197,0.1197,0.1674,486
12m_40Hz.csv,12.0,40.0,12.2,81.94,12.3065,0.3065,0.1107,1000
12m_60Hz.csv,12.0,60.0,24.0,41.66,12.3444,0.3444,0.147,1000
12m_80Hz.csv,12.0,80.0,64.86,15.42,12.45,0.45,0.125,1000
1m_10000Hz.csv,1.0,10000.0,606.93,1.65,1.0705,0.0705,0.0277,1000
1m_1000Hz.csv,1.0,1000.0,202.06,4.95,1.0393,0.0393,0.0238,1000
1m_100Hz.csv,1.0,100.0,80.53,12.42,1.0215,0.0215,0.0288,1000
1m_10Hz.csv,1.0,10.0,6.62,151.14,1.0235,0.0235,0.0236,1000
1m_200Hz.csv,1.0,200.0,166.67,6.0,1.0088,0.0088,0.0253,1000
1m_20Hz.csv,1.0,20.0,19.63,50.95,1.0039,0.0039,0.0227,1000
1m_40Hz.csv,1.0,40.0,27.21,36.75,1.0209,0.0209,0.0196,1000
1m_60Hz.csv,1.0,60.0,32.45,30.82,1.0171,0.0171,0.0258,1000
1m_80Hz.csv,1.0,80.0,40.81,24.5,1.022,0.022,0.0254,1000
2m_10000Hz.csv,2.0,10000.0,666.44,1.5,2.016,0.016,0.0111,1000
2m_1000Hz.csv,2.0,1000.0,500.0,2.0,2.0125,0.0125,0.0177,1000
2m_100Hz.csv,2.0,100.0,90.91,11.0,2.0112,0.0112,0.02,1000
2m_10Hz.csv,2.0,10.0,9.9,101.0,1.9866,-0.0134,0.0167,1000
2m_200Hz.csv,2.0,200.0,76.24,13.12,2.0145,0.0145,0.0174,1000
2m_20Hz.csv,2.0,20.0,11.43,87.5,2.0004,0.0004,0.0127,1000
2m_40Hz.csv,2.0,40.0,38.46,26.0,1.9936,-0.0064,0.0112,1000
2m_60Hz.csv,2.0,60.0,58.82,17.0,1.9954,-0.0046,0.0146,1000
2m_80Hz.csv,2.0,80.0,76.92,13.0,1.9979,-0.0021,0.0209,1000
4m_10000Hz.csv,4.0,10000.0,612.51,1.63,4.0219,0.0219,0.0276,1000
4m_1000Hz.csv,4.0,1000.0,500.0,2.0,4.0253,0.0253,0.0288,1000
4m_100Hz.csv,4.0,100.0,90.91,11.0,4.0305,0.0305,0.0274,1000
4m_10Hz.csv,4.0,10.0,6.6,151.55,4.0287,0.0287,0.0281,1000
4m_200Hz.csv,4.0,200.0,166.67,6.0,4.0324,0.0324,0.0298,1000
4m_20Hz.csv,4.0,20.0,19.51,51.25,4.0304,0.0304,0.0259,1000
4m_40Hz.csv,4.0,40.0,38.46,26.0,4.0287,0.0287,0.0251,1000
4m_60Hz.csv,4.0,60.0,58.82,17.0,4.0298,0.0298,0.0261,1000
4m_80Hz.csv,4.0,80.0,76.92,13.0,4.0318,0.0318,0.0266,1000
8m_10000Hz.csv,8.0,10000.0,619.73,1.61,8.4034,0.4034,0.3304,1000
8m_1000Hz.csv,8.0,1000.0,500.0,2.0,8.5824,0.5824,0.1965,1000
8m_100Hz.csv,8.0,100.0,90.91,11.0,8.4391,0.4391,0.3112,1000
8m_10Hz.csv,8.0,10.0,9.89,101.1,8.4376,0.4376,0.2829,1000
8m_200Hz.csv,8.0,200.0,166.67,6.0,8.4667,0.4667,0.3338,1000
8m_20Hz.csv,8.0,20.0,19.61,51.0,8.335,0.335,0.2629,1000
8m_40Hz.csv,8.0,40.0,22.94,43.59,8.1871,0.1871,0.3061,1000
8m_60Hz.csv,8.0,60.0,46.9,21.32,8.5691,0.5691,0.1791,1000
8m_80Hz.csv,8.0,80.0,76.92,13.0,8.504,0.504,0.2358,1000
